trial,start_date,end_date,days,r2,delta_r2,sse,denominator,rows,epoch
frozen,1180,1199,20,0.018410703320151267,0.0,1711489.5775916222,1743590.301341514,743424,3
online,1180,1199,20,0.020170011270557953,0.0017593079504066855,1708422.0653122202,1743590.301341514,743424,3
frozen,1200,1219,20,0.01975448131646851,0.0,1653807.2310627168,1687135.7221645634,731808,3
online,1200,1219,20,0.021485350247952284,0.0017308689314837755,1650887.0202580257,1687135.7221645634,731808,3
frozen,1220,1239,20,0.02528511237426989,0.0,546044.5651318943,560209.5259486422,751168,3
online,1220,1239,20,0.025438188095186165,0.00015307572091627364,545958.8106548456,560209.5259486422,751168,3
frozen,1240,1259,20,0.014558607984250571,0.0,543512.8449972717,551542.5365738901,735680,3
online,1240,1259,20,0.016416924754254048,0.0018583167700034764,542487.9042521862,551542.5365738901,735680,3
frozen,1260,1279,20,0.01906314415860344,0.0,694375.9794866765,707870.2113716351,746328,3
online,1260,1279,20,0.023460218273892552,0.004397074115289112,691263.42170327,707870.2113716351,746328,3
frozen,1280,1299,20,0.01727485389316341,0.0,948052.4266964231,964717.7854888797,748264,3
online,1280,1299,20,0.023300649334698997,0.006025795441535586,942239.2346622559,964717.7854888797,748264,3
frozen,1300,1319,20,0.013167044709830877,0.0,1042422.910465872,1056331.6768838118,753104,3
online,1300,1319,20,0.01842462856052729,0.005257583850696412,1036869.1581005086,1056331.6768838118,753104,3
frozen,1320,1339,20,0.014412271010657562,0.0,1086369.7630689205,1102255.771977725,747296,3
online,1320,1339,20,0.019819220756137845,0.005406949745480283,1080409.9215031713,1102255.771977725,747296,3
frozen,1340,1359,20,0.019806395455845505,0.0,793062.7131692185,809087.8266218004,754072,3
online,1340,1359,20,0.025106678904085022,0.005300283448239518,788774.3183536029,809087.8266218004,754072,3
frozen,1360,1379,20,0.020627374344042937,0.0,1336933.0365225715,1365091.2854819994,746328,3
online,1360,1379,20,0.02636319489168215,0.005735820547639214,1329103.1178779006,1365091.2854819994,746328,3
frozen,1180,1199,20,0.01886709257489161,0.0,1710693.8217134206,1743590.301341514,743424,4
online,1180,1199,20,0.021940932727349427,0.0030738401524578185,1705334.303835721,1743590.301341514,743424,4
frozen,1200,1219,20,0.01993514879049263,0.0,1653502.4205134576,1687135.7221645634,731808,4
online,1200,1219,20,0.02301599176562419,0.003080842975131559,1648304.6202757333,1687135.7221645634,731808,4
frozen,1220,1239,20,0.027269715215288315,0.0,544932.771715131,560209.5259486422,751168,4
