trial,start_date,end_date,days,r2,delta_r2,sse,denominator,rows
frozen,1180,1199,20,0.019780923032843845,0.0,1709100.4757898645,1743590.301341514,743424
lr_1e-4_persistent,1180,1199,20,0.02221533594460956,0.0024344129117657154,1704855.8570474493,1743590.301341514,743424
lr_1e-5_persistent,1180,1199,20,0.021758229837039123,0.001977306804195278,1705652.862823293,1743590.301341514,743424
lr_3e-5_persistent,1180,1199,20,0.022792991554525854,0.0030120685216820098,1703848.6623284838,1743590.301341514,743424
lr_5e-5_persistent,1180,1199,20,0.02281628461237495,0.003035361579531104,1703808.0487787295,1743590.301341514,743424
lr_2e-4_persistent,1180,1199,20,0.020691180365127293,0.0009102573322834484,1707513.3599335703,1743590.301341514,743424
frozen,1200,1219,20,0.022172713538525568,0.0,1649727.3450963951,1687135.7221645634,731808
lr_1e-4_persistent,1200,1219,20,0.024628119863323694,0.002455406324798126,1645584.7413733993,1687135.7221645634,731808
lr_1e-5_persistent,1200,1219,20,0.02256693580433533,0.0003942222658097627,1649062.2386292748,1687135.7221645634,731808
lr_3e-5_persistent,1200,1219,20,0.023642146253152196,0.0014694327146266284,1647248.2126722313,1687135.7221645634,731808
lr_5e-5_persistent,1200,1219,20,0.02430264276236538,0.0021299292238398104,1646133.8654171727,1687135.7221645634,731808
lr_2e-4_persistent,1200,1219,20,0.023617047725740692,0.0014443341872151239,1647290.5572944009,1687135.7221645634,731808
frozen,1220,1239,20,0.027704030740863583,0.0,544689.4640204364,560209.5259486422,751168
lr_1e-4_persistent,1220,1239,20,0.027945610907190277,0.00024158016632669366,544554.1285099799,560209.5259486422,751168
lr_1e-5_persistent,1220,1239,20,0.028876926716990048,0.0011728959761264646,544032.3965216635,560209.5259486422,751168
lr_3e-5_persistent,1220,1239,20,0.029578270403541662,0.0018742396626780788,543639.4971074933,560209.5259486422,751168
lr_5e-5_persistent,1220,1239,20,0.02936635037473101,0.0016623196338674262,543758.2167263724,560209.5259486422,751168
lr_2e-4_persistent,1220,1239,20,0.02552948922950804,-0.0021745415113555433,545907.6628896685,560209.5259486422,751168
frozen,1240,1259,20,0.018642401933926744,0.0,541260.4589234221,551542.5365738901,735680
lr_1e-4_persistent,1240,1259,20,0.01787370076356054,-0.0007687011703662039,541684.4303167933,551542.5365738901,735680
lr_1e-5_persistent,1240,1259,20,0.018590319092646745,-0.00005208284127999896,541289.1848258137,551542.5365738901,735680
lr_3e-5_persistent,1240,1259,20,0.019306978340044134,0.0006645764061173898,540893.916766645,551542.5365738901,735680
lr_5e-5_persistent,1240,1259,20,0.019178580978404747,0.0005361790444780024,540964.733373173,551542.5365738901,735680
lr_2e-4_persistent,1240,1259,20,0.01561318417611035,-0.0030292177578163937,542931.2013694029,551542.5365738901,735680
frozen,1260,1279,20,0.020387466183069858,0.0,693438.5313752934,707870.2113716351,746328
lr_1e-4_persistent,1260,1279,20,0.025517205370697793,0.005129739187627935,689807.3418122658,707870.2113716351,746328
lr_1e-5_persistent,1260,1279,20,0.02375576992712991,0.0033683037440600527,691054.2094920217,707870.2113716351,746328
lr_3e-5_persistent,1260,1279,20,0.025147585424870944,0.004760119241801086,690068.9847614454,707870.2113716351,746328
lr_5e-5_persistent,1260,1279,20,0.025253758815697136,0.004866292632627278,689993.8277808393,707870.2113716351,746328
lr_2e-4_persistent,1260,1279,20,0.02530326128346938,0.004915795100399523,689958.7864585139,707870.2113716351,746328
frozen,1280,1299,20,0.01708699520421242,0.0,948233.6573148128,964717.7854888797,748264
lr_1e-4_persistent,1280,1299,20,0.02544424094538733,0.008357245741174912,940171.2737106001,964717.7854888797,748264
lr_1e-5_persistent,1280,1299,20,0.021655439275033883,0.004568444070821465,943826.3980676801,964717.7854888797,748264
lr_3e-5_persistent,1280,1299,20,0.024417452714181276,0.007330457509968857,941161.8345791752,964717.7854888797,748264
lr_5e-5_persistent,1280,1299,20,0.02545717443428508,0.00837017923007266,940158.796543832,964717.7854888797,748264
lr_2e-4_persistent,1280,1299,20,0.02291835957435584,0.0058313643701434215,942608.0363932692,964717.7854888797,748264
frozen,1300,1319,20,0.012741201275933589,0.0,1042872.7423744907,1056331.6768838118,753104
lr_1e-4_persistent,1300,1319,20,0.01906545015001071,0.006324248874077121,1036192.2379563063,1056331.6768838118,753104
lr_1e-5_persistent,1300,1319,20,0.015376966643993795,0.0026357653680602056,1040088.4999233754,1056331.6768838118,753104
lr_3e-5_persistent,1300,1319,20,0.01729911627534597,0.004557914999412382,1038058.0723800675,1056331.6768838118,753104
lr_5e-5_persistent,1300,1319,20,0.018266318986445373,0.005525117710511784,1037036.3855183654,1056331.6768838118,753104
lr_2e-4_persistent,1300,1319,20,0.01869408828385255,0.005952887007918961,1036584.5192591158,1056331.6768838118,753104
